match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
249749,Brabourne Stadium,New Zealand,Sri Lanka,ODI,New Zealand,bat,Sri Lanka
249750,Sawai Mansingh Stadium,Australia,England,ODI,Australia,field,Australia
249751,"Sardar Patel Stadium, Motera",South Africa,Sri Lanka,ODI,Sri Lanka,field,South Africa
249752,"Punjab Cricket Association Stadium, Mohali",New Zealand,Pakistan,ODI,Pakistan,field,New Zealand
249753,"Sardar Patel Stadium, Motera",India,West Indies,ODI,West Indies,field,West Indies
249754,"Punjab Cricket Association Stadium, Mohali",Pakistan,South Africa,ODI,South Africa,bat,South Africa
249755,"Sardar Patel Stadium, Motera",England,West Indies,ODI,West Indies,bat,England
249756,"Punjab Cricket Association Stadium, Mohali",India,Australia,ODI,India,bat,Australia
249757,"Punjab Cricket Association Stadium, Mohali",Australia,New Zealand,ODI,New Zealand,field,Australia
249758,Sawai Mansingh Stadium,South Africa,West Indies,ODI,South Africa,bat,West Indies
249759,Brabourne Stadium,Australia,West Indies,ODI,West Indies,bat,Australia
250668,SuperSport Park,South Africa,Pakistan,ODI,Pakistan,field,South Africa
250669,Kingsmead,South Africa,Pakistan,ODI,Pakistan,bat,Pakistan
250670,St George's Park,South Africa,Pakistan,ODI,Pakistan,bat,Unknown
250671,Newlands,South Africa,Pakistan,ODI,South Africa,field,South Africa
250672,New Wanderers Stadium,South Africa,Pakistan,ODI,Pakistan,bat,South Africa
251489,McLean Park,New Zealand,Sri Lanka,ODI,New Zealand,bat,Sri Lanka
251491,Jade Stadium,New Zealand,Sri Lanka,ODI,New Zealand,field,New Zealand
251492,Eden Park,New Zealand,Sri Lanka,ODI,Sri Lanka,bat,Sri Lanka
251494,Westpac Stadium,New Zealand,Australia,ODI,New Zealand,field,New Zealand
251495,Eden Park,New Zealand,Australia,ODI,New Zealand,field,New Zealand
251496,Seddon Park,New Zealand,Australia,ODI,Australia,bat,New Zealand
255961,Goodyear Park,South Africa,Zimbabwe,ODI,Zimbabwe,bat,South Africa
256607,Kinrara Academy Oval,India,West Indies,ODI,India,bat,West Indies
256608,Kinrara Academy Oval,Australia,India,ODI,Australia,bat,Unknown
256610,Kinrara Academy Oval,Australia,West Indies,ODI,Australia,bat,West Indies
256612,Kinrara Academy Oval,India,West Indies,ODI,India,bat,India
256614,Kinrara Academy Oval,Australia,India,ODI,Australia,bat,Australia
256615,Kinrara Academy Oval,Australia,West Indies,ODI,Australia,bat,Australia
256665,Sinhalese Sports Club Ground,Sri Lanka,India,ODI,India,bat,Unknown
257470,Sedgars Park,South Africa,Zimbabwe,ODI,South Africa,bat,South Africa
257769,Iqbal Stadium,Pakistan,West Indies,ODI,Pakistan,field,Pakistan
257770,Gaddafi Stadium,Pakistan,West Indies,ODI,Pakistan,field,Pakistan
257771,Multan Cricket Stadium,Pakistan,West Indies,ODI,Pakistan,bat,West Indies
257772,National Stadium,Pakistan,West Indies,ODI,Pakistan,field,Pakistan
258465,Lord's,England,West Indies,ODI,West Indies,field,England
258466,Edgbaston,England,West Indies,ODI,England,field,West Indies
